Game Name,Store Link,Release Date?,Thoughts,Wishlist?,Keep Demo Installed?,Played,Video Clip,Order in Video,Top 50 rank
Moonlighter 2: Endless Vault,https://store.steampowered.com/app/2350790/Moonlighter_2_The_Endless_Vault/,2025,"Moonlighter 2 takes the original pixelart game style of bashing and selling but upgrades to the more polished 3D world. Whereas the first game had a Zelda-y vibe, the second game gives me Bastion vibes. Generally, if you liked the first, the second is going to give you more and better action.",Yes,,,,,
Gnaughty Gnomes,https://store.steampowered.com/app/3454480/Gnaughty_Gnomes/,,"The art style and presentation are good, but I couldn't figure out any single player modes. It's tough to play alone.",No,,,,,
Neoclassical: Chromaticist,https://store.steampowered.com/app/3689700/Neoclassical_Chromaticist/,,It's like tetris but slightly less good and vaguely related to classical music. No thanks. Normal Tetris is better.,No,,,,,
Morsels,https://store.steampowered.com/app/1719040/Morsels/,2025,"The best way to describe Morsels might be to call it an acid trip Cuphead Binding of Isaac? It oozes character, and I'm astounded by the commitment to the visual and audio themes. It kicked my butt, but it's the type of game I could see trying to figure out and uncover its mysteries. If this game also kicks your butt, go into the settings room and change the difficulty of the game from ""Hard Cheese"" to ""Soft Cheese"" to help your experience.",Yes,,,,,
Neon Abyss 2,https://store.steampowered.com/app/2235200/Neon_Abyss_2/,"Jul 17, 2025","Neon Abyss 2 is an evolution of the original ""Neon Abyss"" concept. All of the colorful art and vibes are still here, but there are some deeper mechanics and the option to dive into the abyss with your friends. It's a great option for anyone who liked the first Neon Abyss, and a breath of fresh air for folks who play other rogue-likes.",Yes,,,,,
Carnage Battle Arena,https://store.steampowered.com/app/3288840/Carnage_Battle_Arena/,,"Carnage Battle Arena has a few different voxel car demolition games in destructible environments. I found there to be too many different upgrades and mechanics, where I was looking for a more simple, fun centered game.",No,,,,,
Neon Inferno,https://store.steampowered.com/app/2957720/Neon_Inferno/,"Oct 1, 2025","Neon Inferno is a run and gun game with SunsetRiders meets Cyberpunk vibes. I played the second from the lowest difficulty and still got my butt kicked, but I eventually got through the demo. I'm wishlisting based on good vibes.",Yes,,,,,
One Move Away,https://store.steampowered.com/app/3172440/One_Move_Away/,To be announced,"One Move Away is a game that tells a story through packing up and moving. You take the role of a person who goes through different stages in life, trying to fit your worldly belongings in some form of vehicle. The gameplay allows for some creative problem solving, and there is a mechanic where you can choose to hit whatever you're trying to pack to make it fit.  It's a novel way of storytelling, and I'm here for it.",Yes,,,,,
Florida Interstate '86,https://store.steampowered.com/app/2324760/Florida_Interstate_86/,,Pretty decent racer. It leans about 60% into the neon vibes. It's like outrun but slightly dark and on a highway in Miami. It's fine.,No,,,,,
Ra Ra Boom,https://store.steampowered.com/app/2335060/Ra_Ra_BOOM/,August 2025,"Rara Boom is a side scrolling beat em up that is a mix of games like Streets of Rage 4 and Battletoads. I appreciate the sci fi girl power future robot themes and I think that the fighting mechanics may be quite impressive in time. The different characters ooze personality, and there's a lot of potential here.",Yes,,,,,
Polar Star,https://store.steampowered.com/app/3625390/Polar_Star/,,"Polar Star is a press your luck style rock paper scissors game but it changes the possible actions to drink, prepare, and shoot. The art is a western style pixel art, and the themes are very western with a bit of a wacky side.",No,,,,,
"Ship, Inc",https://store.steampowered.com/app/3496000/Ship_Inc/,"Jun 23, 2025","Ship Inc is a game that plays relaxing music in the background as you calmly pack orders in a warehouse. It's like if a job at an Amazon warehouse only required you to pack a few boxes a day with no time limit. I will mention that I chose the ""cozy"" difficulty. I assume that the higher difficulty levels may be significantly less chill. I dig the Kawaii vibes and easy flow states.",Yes,,,,,
Speed Demons 2,https://store.steampowered.com/app/2851640/Speed_Demons_2/,2025,"Speed Demons 2 is a side scrolling racing game with a few different racing modes, from straight up racing to chasing to slalom style or more destruction oriented modes. It could use a little more polish, but the main mechanics are pretty good.",Yes,,,,,
Tax-Force,https://store.steampowered.com/app/2508290/TaxForce/,To be announced,"Tax Force is a comic style beat em up with a ""tax the rich"" theme. It's like Comix Zone for people who want a little more dialog and some accountability for rich folks avoiding their taxes in a Judge Dredd style dystopia. The action was very satisfying and I really appreciated the pixel art and colors.",Yes,,,,,
Unbeatable,https://store.steampowered.com/app/2240620/UNBEATABLE/,2025,"Unbeatable is multi-faceted, with both a rhythm game mode, and a long-winded narrative game mode. The first time I played, I ran into some control issues, but I was able to figure out the joystick support after that. The arcade mode has non-stop rhythm action and the story mode has quite a bit of dialog and some exploration and mini games. I found accessing the settings a bit confusing, but the vibes are quite good. ",Yes,,,,,
Tiny bookshop,https://store.steampowered.com/app/2133760/Tiny_Bookshop/,"Aug 7, 2025","Tiny bookshop has immaculate vibes for a retail simulator. You've packed up and left your old life behind, and you have a tiny book shop that fits in a trailer behind your car. During the game, you discover the quaint little town of Bookston Bay and meet some of its wonderful residents. This game has great vibes and some interesting strategy elements.",Yes,,,,,
Town To City,https://store.steampowered.com/app/3115220/Town_to_City/,Coming soon,"Town to City comes from Galaxy Grove, the folks who brought us ""Station to Station"", another cozy voxel game with strategy elements. At first, I thought that the learning curve was going to be too steep for me, but then I relaxed and started to take in the breathtaking voxel art and just try to make the lives of the residents in town a little better. Before I knew it, I had upgraded my little town to a Hamlet and had reached the end of the demo. Come for the voxels, stay for the upgrade trees and learn the stories of your residents.",Yes,,,,,
TRON:Catalyst,https://store.steampowered.com/app/3025590/TRON_Catalyst/,"Jun 17, 2025","Greetings, program. Bithell Games has brought out another game to follow up the excellent Tron: Identity. This time, TRON: Catalyst keeps the amazing colors and art of the grid, as well as excellent writing, but adds some 3D Beat Em Up action and exploration elements, with the choice of a story driven adventure or punishingly difficult action with story beats.  You're the user. You decide how this story unfolds.",Yes,,,,,
Undermine 2,https://store.steampowered.com/app/1869780/UnderMine_2/,"Jul 22, 2025","Undermine 2 is a co-op evolution of the original Undermine game. It takes the original mining, exploration, and worker exploitation elements, and adds co-op and a few other surprises along the way. I appreciate the roguelike elements and I get a fond reminder of the old Zelda game for Nintendo.",Yes,,,,,
Wild Horse Racing,https://store.steampowered.com/app/2579620/Wild_Horse_Racing/,To be announced,"Wild Horse Racing resides at the intersection of rhythm game, horse racing, and Excitebike. It's not a very busy intersection, but it's still cool to know that something is there. The default controls are a bit ""button mashy"" but I was happy to see that there were options for both controller and keyboard in the demo, even if the controller buttons weren't called out by the button prompts. In controller mode, the twin sticks do the work of button pushing. I appreciate the horse puns and pixel art. This is worth a watch.",Yes,,,,,
Word Play,https://store.steampowered.com/app/3586660/Word_Play/,"July 14, 2025","With Word Play, Game Makers Toolkit appears to have another gem on their hands. The gameplay is tight and the powerups will change the game enough to keep you interested. I did notice that the default loop of 10 rounds was slightly longer than I'd like, but I assume that there are more options in the full game.",Yes,,,,,
