Game Name,Store Link,Release Date?,Thoughts,Wishlist?,Keep Demo Installed?,Played,Video Clip,Order in Video,Top 50 rank
"Yes, Your Grace: Snowfall",https://store.steampowered.com/app/1373090/Yes_Your_Grace_Snowfall/,A1 2025,"Art and music are wonderful. The theme is interesting. The pixel art reminds me of Dave the Diver. However, the gameplay reminds me of the management aspects of Dave the Diver that keep me from doing the things I want.  I think I'd have to be in a particular mood to want to manage a kingdom in addition to my normal life responsibilities.  However, I'm still wishlisting because it's a pretty cool vibe.",Yes,No,Yes,Yes,20,
Pico Drift,https://store.steampowered.com/app/3315320/Pico_Drift/,TBD,"Driving was OK, sound effects were awful, graphics felt very generic and vague.",No,No,Yes,No,,
Piece By Piece,https://store.steampowered.com/app/3179050/Piece_by_Piece/,TBD,"Nice, bright art, and cozy vibes. A cozy repair em up with not too much pressure. I'm not sure how deep it goes, but it's relaxing. Much better with controller than mouse and keyboard.",Yes,No,Yes,Yes,21,
Recharge,https://store.steampowered.com/app/3484640/ReCharge_RC_High_Voltage/,Q2 2025,Decent remote controlled racing game. No bots. Raced online with a few folks. Menu system needs some work.,No,No,Yes,Yes,,
Neo Junk City,https://store.steampowered.com/app/2378230/Neo_Junk_City/,Q4 2025,"I loved the art aesthetic and chiptune music for getting me in the right frame of mind for the game, and I appreciated the references to older games within the minigames of the game, but I got a bit stuck in the investigation process. I might want either a story mode or a walkthrough to help me see everything that this game has to offer.",Yes,No,Yes,Yes,22,
Road Toads,https://store.steampowered.com/app/3429480/Road_Toads/,TBD,Interesting but I couldn't get my controller to work.,No,No,Yes,No,,
Rocket Boots Mania Space Train,https://store.steampowered.com/app/3318940/Rocket_Boots_Mania_Space_Train/,Q1 2025,"Endless runner on a space train. Art and controls are pretty good, but I don't understand the reason that I'd want to keep playing other than to beat my high score.",No,No,Yes,No,,
Nautical Survival,https://store.steampowered.com/app/2860990/Nautical_Survival/,2025,Kind of like a mix between LUFTRAUSERS and a survivor game. Nautical theme and pixely graphics are nice.  Worth a follow.,Yes,Yes,Yes,Yes,23,
Kaya's Prophecy,https://store.steampowered.com/app/3051470/Kayas_Prophecy,Q2 2025,"This is like a more polished version of stacklands, a living card game. This game also includes some branching exploration elements to choose challenges, and some slay the spire style card battles from time to time.  An interesting mix of inspirations.",Yes,Yes,Yes,Yes,24,
Einstein's Cats,https://store.steampowered.com/app/2857980/Einsteins_Cats/,March 2025,A decent puzzle game using deductive reasoning with nice arts and lots of cats. Pretty relaxing.,Yes,Yes,Yes,Yes,25,
Tiny Racing,https://store.steampowered.com/app/3358900/Tiny_Racing/,2025,"The racing is OK, but the cars are identical, and there's only one track. Tough to make a purchase decision based on what's available.",No,No,Yes,Yes,,
Dunk Dunk,https://store.steampowered.com/app/2410590/Dunk_Dunk/,TBD,"Halfway between soccer and rugby. Fun, cartoony characters. Fun bots. Good music.",Yes,Yes,Yes,Yes,26,
Jitter,https://store.steampowered.com/app/2877660/Jitter/,2025,Interesting monochrome art vibes. Tight mechanics similar to subterrania but without gravity. Story centers a sentient AI character in the narrative parts. Pretty cool.,Yes,No,Yes,Yes,27,
Despelote,https://store.steampowered.com/app/2367820/despelote/,May 2025,"Halfway between a game and a narrative experience, the storytelling was very powerful and the vibes were great. It feels like I'm next to history as it happened.",Yes,No,Yes,Yes,28,
Drop Duchy,https://store.steampowered.com/app/2525310/Drop_Duchy,May 2025,"A mix between Tetris, Hand of Fate, and Carcassonne. This creates an interesting puzzle game that I will keep my eye on.",Yes,Yes,Yes,Yes,29,
Duck Detective : The Ghost of Glamping,https://store.steampowered.com/app/2714620/Duck_Detective_The_Ghost_of_Glamping/,2025,Humorous detective game with a pretty forgiving story mode and a distinctive feel. Worth a look.,Yes,No,Yes,Yes,30,
